HaulID,Stratum,LAT,LON,Depth,Year,wtcpue
019-198701-091,41,58.35633,-169.122,66,1987,17.370261
019-198701-040,50,54.965,-165.2032,112,1987,254.475583
019-198701-092,42,58.02583,-169.0818,70,1987,23.808591
019-198701-041,50,55.313,-165.1702,112,1987,4.987301
019-198701-093,42,57.85517,-169.324,64,1987,40.99449
019-198701-042,31,55.64117,-165.164,110,1987,96.521382
019-198701-094,42,57.68217,-169.069,68,1987,225.59179
019-198701-043,31,55.98183,-165.1742,97,1987,17.624583
019-198701-095,42,57.52283,-169.33,68,1987,247.418053
019-198701-044,31,56.311,-165.1932,88,1987,115.554763
019-198701-096,42,57.345,-169.0193,71,1987,129.759717
019-198701-045,31,56.69317,-165.1352,75,1987,13.724955
019-198701-097,42,57.1795,-169.2843,73,1987,5.526517
019-198701-046,31,56.97383,-165.2198,71,1987,5.81565
019-198701-098,32,56.97717,-168.9623,80,1987,242.470965
019-198701-047,31,57.30933,-165.2297,66,1987,10.629282
019-198701-099,32,56.84933,-169.2528,80,1987,79.553249
019-198701-048,31,57.64317,-165.239,60,1987,22.215844
019-198701-100,32,56.67867,-168.9292,97,1987,97.299593
019-198701-168,61,59.66917,-176.5868,135,1987,93.69486
019-198701-049,10,57.96533,-165.2413,49,1987,6.592332
019-198701-101,50,56.36367,-168.8757,124,1987,5.162598
019-198701-050,10,58.30133,-165.2673,44,1987,3.86748
019-198701-169,61,59.66717,-175.9038,137,1987,101.494612
019-198701-102,50,56.34133,-170.034,110,1987,536.562473
019-198701-051,10,58.64033,-165.299,40,1987,1.466458
019-198701-170,61,59.66817,-175.1423,126,1987,69.431521
019-198701-103,42,56.64633,-170.1137,99,1987,354.845615
019-198701-052,10,58.97367,-165.321,26,1987,90.763298
019-198701-171,62,59.6325,-174.5512,117,1987,144.421783
019-198701-104,42,56.81683,-170.4395,99,1987,8.965726
019-198701-053,20,59.31767,-165.3332,18,1987,0.637744
019-198701-172,62,59.35167,-174.4513,123,1987,540.046501
019-198701-105,42,56.99283,-170.216,70,1987,0.050199
019-198701-054,20,59.61033,-166.6385,27,1987,8.127446
019-198701-173,61,59.07567,-174.3852,124,1987,716.994866
019-198701-106,42,57.127,-170.4898,51,1987,0
019-198701-055,20,59.34633,-166.6022,27,1987,0
019-198701-107,42,57.32517,-170.2413,53,1987,0
019-198701-174,61,59.09333,-174.8702,128,1987,224.655157
019-198701-056,20,59.021,-166.6013,31,1987,3.079817
019-198701-108,42,57.489,-170.5633,73,1987,29.491943
019-198701-057,20,58.67833,-166.5818,40,1987,6.345831
019-198701-175,61,59.30633,-174.993,132,1987,93.056535
019-198701-109,42,57.6545,-170.3013,71,1987,45.28814
019-198701-058,10,58.35767,-166.5458,46,1987,8.001872
019-198701-110,42,57.82633,-170.6062,77,1987,473.38427
019-198701-176,61,59.30317,-175.6153,139,1987,89.167788
019-198701-059,31,58.017,-166.5265,60,1987,23.219969
019-198701-111,42,57.97883,-170.3545,73,1987,17.551984
019-198701-060,31,57.69183,-166.5013,66,1987,11.640021
019-198701-177,61,59.0065,-175.5988,135,1987,141.203422
019-198701-112,41,58.3445,-170.3975,73,1987,7.910449
019-198701-061,31,57.35383,-166.4877,68,1987,12.260233
019-198701-178,61,58.76333,-175.4842,134,1987,1.610781
019-198701-113,41,58.65633,-170.4257,73,1987,70.350084
019-198701-062,31,57.024,-166.4657,73,1987,72.167434
019-198701-179,61,58.75967,-174.94,141,1987,809.575582
019-198701-114,41,58.97183,-170.4778,71,1987,55.213453
019-198701-063,31,56.6675,-166.477,86,1987,117.548561
019-198701-180,61,58.67733,-174.3375,159,1987,929.269404
019-198701-115,41,59.31567,-170.5255,68,1987,59.265653
019-198701-064,31,56.34933,-166.4228,102,1987,91.726548
037-198701-001,10,57.33617,-158.397,29,1987,6.336194
019-198701-116,41,59.64833,-170.5733,66,1987,17.637289
019-198701-065,50,56.022,-166.4185,124,1987,6.273879
037-198701-002,10,57.70483,-158.3232,35,1987,20.895287
019-198701-117,41,59.97817,-170.6317,64,1987,92.082683
019-198701-118,41,60.31983,-170.6572,60,1987,11.640397
019-198701-066,50,55.68333,-166.3852,126,1987,0.402698
037-198701-003,10,57.9805,-158.3215,31,1987,25.020054
019-198701-119,41,60.98133,-172.1392,64,1987,0.311229
019-198701-067,50,55.35583,-166.3532,134,1987,44.816884
037-198701-004,10,57.9655,-158.9927,37,1987,1.833839
019-198701-120,41,60.688,-172.1178,60,1987,1.7084
019-198701-068,50,55.02183,-166.3308,144,1987,92.316409
037-198701-005,10,57.67033,-159.0198,44,1987,19.77681
019-198701-121,43,60.35883,-172.0688,59,1987,10.539751
019-198701-069,50,55.32433,-167.5343,150,1987,92.218245
037-198701-006,10,57.34417,-159.0468,46,1987,6.30036
019-198701-122,43,60.18117,-172.2973,57,1987,10.178141
037-198701-007,10,57.0085,-159.1313,31,1987,0
019-198701-070,50,55.65417,-167.5837,135,1987,0.041197
019-198701-123,43,60.01567,-171.9988,66,1987,9.054842
037-198701-021,10,56.66833,-159.761,33,1987,0
019-198701-071,50,55.99533,-167.6392,134,1987,0.146232
037-198701-079,31,57.32567,-165.8592,66,1987,24.027707
019-198701-124,43,59.84817,-172.22,73,1987,45.360379
037-198701-022,10,56.99183,-159.7065,55,1987,28.908719
019-198701-072,50,56.3185,-167.647,132,1987,0.311904
037-198701-080,31,57.011,-165.851,70,1987,260.4094
019-198701-125,43,59.6805,-171.9378,77,1987,79.761648
037-198701-023,10,57.32417,-159.6593,53,1987,24.762853
019-198701-073,31,56.6465,-167.6677,106,1987,163.372037
037-198701-081,31,56.6555,-165.8928,79,1987,164.630231
019-198701-126,43,59.3605,-171.834,80,1987,20.649991
037-198701-024,10,57.64267,-159.6598,48,1987,47.283822
037-198701-082,31,56.33917,-165.7982,90,1987,549.495256
019-198701-074,31,56.97817,-167.6973,77,1987,877.591827
037-198701-025,10,57.98733,-159.5967,38,1987,13.825225
019-198701-127,41,59.01617,-171.765,86,1987,386.845339
037-198701-083,31,56.001,-165.7997,108,1987,25.567188
019-198701-075,31,57.3165,-167.7315,73,1987,111.480979
037-198701-026,10,58.30833,-159.5535,22,1987,0
019-198701-128,41,58.6855,-171.7162,91,1987,209.833628
037-198701-084,50,55.67067,-165.8137,115,1987,39.027816
019-198701-076,31,57.67417,-167.7552,68,1987,65.403002
037-198701-028,10,58.2105,-160.6463,37,1987,1.794866
019-198701-129,41,58.35467,-171.6625,95,1987,377.304306
037-198701-085,50,55.32917,-165.775,121,1987,8.226062
019-198701-077,41,57.98717,-167.7845,66,1987,7.956044
037-198701-029,10,58.00917,-160.8305,42,1987,8.524161
019-198701-130,41,58.0115,-171.5978,97,1987,42.600456
037-198701-086,50,54.98983,-165.7537,130,1987,0
019-198701-078,41,58.31067,-167.8288,60,1987,5.985937
037-198701-030,31,57.686,-160.8838,53,1987,32.13085
019-198701-131,41,57.69367,-171.5367,99,1987,77.407026
037-198701-087,50,54.80233,-165.7643,192,1987,103.50608
019-198701-079,20,58.66233,-167.8752,46,1987,2.053444
037-198701-031,31,57.33717,-160.9202,62,1987,6.778636
019-198701-132,41,57.35117,-171.4595,101,1987,47.594127
037-198701-088,50,55.00233,-166.9227,155,1987,0
019-198701-080,20,58.98,-167.9015,40,1987,5.975667
037-198701-032,31,57.00133,-160.9098,71,1987,5.41656
019-198701-133,61,57.02417,-171.3995,108,1987,24.873874
037-198701-089,50,55.33167,-166.96,139,1987,0
019-198701-081,20,59.319,-167.9208,38,1987,9.209722
037-198701-033,31,56.67717,-160.9928,66,1987,16.762982
037-198701-090,50,55.671,-166.9745,134,1987,2.324089
019-198701-134,61,56.697,-171.3568,117,1987,142.433317
037-198701-034,10,56.346,-161.0002,51,1987,309.693833
037-198701-091,50,56.03383,-167.002,132,1987,11.146675
019-198701-135,61,56.67767,-172.5753,146,1987,49.300747
037-198701-035,31,56.03833,-162.2655,70,1987,73.25249
037-198701-092,50,56.32817,-167.0357,112,1987,2.283952
019-198701-136,61,56.9785,-172.6458,124,1987,267.948101
037-198701-037,31,56.36967,-162.2178,80,1987,77.015394
037-198701-093,31,56.6625,-167.0705,93,1987,420.507709
019-198701-137,61,57.269,-172.699,113,1987,0.729622
037-198701-038,31,56.66183,-162.1873,68,1987,8.18411
019-198701-138,61,57.648,-172.7968,121,1987,0.663908
037-198701-094,31,57.01717,-167.0858,71,1987,175.039973
037-198701-039,31,56.993,-162.1695,57,1987,10.53223
019-198701-139,61,57.98817,-172.86,110,1987,457.107874
037-198701-095,31,57.34767,-167.1047,70,1987,31.786637
037-198701-040,10,57.32383,-162.1428,49,1987,8.950827
019-198701-140,61,58.31733,-172.9062,108,1987,1789.104937
037-198701-041,10,57.66217,-162.1208,46,1987,29.875886
019-198701-141,61,58.64217,-172.989,112,1987,184.6407
037-198701-096,31,57.6615,-167.13,66,1987,26.566936
037-198701-042,10,57.992,-162.1065,35,1987,12.274236
019-198701-142,61,58.9845,-173.0813,106,1987,77.710976
037-198701-097,31,57.99817,-167.1662,62,1987,7.794594
037-198701-043,10,58.302,-162.0903,44,1987,23.481673
019-198701-143,43,59.325,-173.1427,101,1987,122.383192
037-198701-098,20,58.3255,-167.1878,49,1987,9.535605
037-198701-044,10,58.687,-162.6578,24,1987,14.076667
019-198701-144,43,59.48183,-173.4387,102,1987,106.181737
037-198701-156,61,57.64533,-172.108,104,1987,503.544655
037-198701-045,10,58.97567,-163.2975,20,1987,0
037-198701-099,20,58.66333,-167.2245,40,1987,3.9886
019-198701-145,43,59.65583,-173.2377,97,1987,111.724918
037-198701-157,50,55.68833,-168.1655,135,1987,0.408467
037-198701-100,20,59.0015,-167.2392,37,1987,3.464997
037-198701-046,10,59.32117,-164.0065,20,1987,3.05458
019-198701-146,43,59.8075,-173.5232,93,1987,108.494494
037-198701-158,50,55.99867,-168.2032,150,1987,28.190365
019-198701-149,41,60.66883,-174.08,86,1987,222.647944
037-198701-159,61,57.02933,-173.293,144,1987,47.043571
037-198701-101,20,59.3215,-167.2615,29,1987,1.517614
037-198701-047,10,59.003,-163.99,24,1987,0
019-198701-150,41,60.96833,-174.1867,82,1987,196.745849
037-198701-160,61,57.34917,-173.3395,121,1987,0.019416
037-198701-102,20,59.64933,-167.2832,27,1987,3.863869
037-198701-048,10,58.67117,-163.375,29,1987,12.396489
019-198701-151,82,60.9925,-174.8068,91,1987,221.334154
037-198701-161,61,57.6745,-173.3988,146,1987,0.019909
019-198701-152,82,61.31517,-174.902,86,1987,211.159192
037-198701-104,20,60.2615,-168.706,35,1987,18.640161
037-198701-049,10,58.33933,-163.3485,37,1987,10.136042
037-198701-162,61,58.00867,-173.4845,117,1987,777.084532
019-198701-153,82,61.617,-174.9815,84,1987,184.094532
037-198701-163,61,57.9995,-172.2202,104,1987,250.559522
037-198701-105,20,60.01567,-168.6618,37,1987,18.111789
037-198701-050,10,58.0105,-163.3718,40,1987,76.293113
019-198701-154,82,61.84117,-175.0468,80,1987,11.824607
037-198701-164,61,58.33383,-172.3083,101,1987,143.333586
037-198701-106,20,59.67633,-168.6138,37,1987,17.540991
037-198701-051,10,57.67933,-163.3732,44,1987,15.3185
019-198701-155,82,61.85483,-175.9187,95,1987,21.762037
037-198701-165,61,58.66417,-172.3678,101,1987,217.468484
037-198701-052,10,57.34017,-163.3837,49,1987,15.217812
037-198701-107,20,59.34583,-168.5628,40,1987,5.450693
019-198701-158,90,61.35233,-176.9288,115,1987,120.106041
037-198701-166,41,59.052,-172.443,97,1987,128.333277
037-198701-053,31,57.00883,-163.3698,64,1987,20.220185
037-198701-108,20,59.01,-168.5335,44,1987,6.132015
037-198701-167,43,59.32583,-172.4972,86,1987,270.218263
019-198701-166,61,60.00983,-177.9137,143,1987,19.205223
037-198701-054,31,56.67467,-163.3693,73,1987,17.976874
037-198701-168,43,59.499,-172.8827,93,1987,149.440783
037-198701-109,20,58.65567,-168.4873,51,1987,22.013134
019-198701-167,61,59.69233,-177.1708,166,1987,89.690015
037-198701-169,43,59.65883,-172.5465,79,1987,89.040339
037-198701-055,31,56.34583,-163.3953,84,1987,17.942296
037-198701-110,41,58.34167,-168.4642,64,1987,36.475648
037-198701-171,43,60.00933,-172.6338,64,1987,0
037-198701-056,31,56.013,-163.399,86,1987,8.035908
037-198701-111,42,58.01917,-168.4312,68,1987,27.49324
037-198701-172,43,60.167,-173.0053,57,1987,4.249037
037-198701-112,42,57.83067,-168.7538,70,1987,532.122832
037-198701-057,31,55.67733,-163.393,79,1987,103.307679
037-198701-173,41,60.66433,-172.7817,42,1987,2.611237
037-198701-058,31,55.36217,-163.426,53,1987,102.601932
037-198701-113,42,57.6735,-168.4413,68,1987,73.299429
037-198701-059,31,55.3365,-164.561,101,1987,79.807982
037-198701-174,41,60.9945,-172.8125,64,1987,27.394428
037-198701-114,42,57.50317,-168.724,70,1987,82.949844
037-198701-060,31,55.6585,-164.5953,95,1987,125.954295
037-198701-175,41,60.99933,-173.4955,73,1987,22.819161
037-198701-115,32,57.32833,-168.3777,73,1987,106.015682
037-198701-061,31,55.988,-164.5808,91,1987,66.571005
037-198701-176,41,60.66733,-173.4553,64,1987,23.454992
037-198701-062,31,56.325,-164.5835,86,1987,181.269074
037-198701-116,32,57.1615,-168.6228,75,1987,16.670404
037-198701-177,43,60.33317,-174.0585,90,1987,15.472408
037-198701-063,31,56.7055,-164.543,73,1987,105.259486
037-198701-178,43,60.16733,-174.3458,99,1987,175.767725
037-198701-117,32,57.00467,-168.3498,79,1987,0.035719
037-198701-179,62,60.33067,-174.7113,101,1987,151.312069
037-198701-064,31,56.983,-164.6158,68,1987,34.510275
037-198701-118,32,56.83583,-168.619,97,1987,25.183727
037-198701-180,41,60.66283,-174.8228,97,1987,61.881161
037-198701-065,31,57.32683,-164.6218,62,1987,32.625601
037-198701-181,61,60.666,-175.4415,108,1987,177.280448
037-198701-119,50,56.67383,-168.2908,104,1987,510.995936
037-198701-182,90,60.99667,-175.5568,102,1987,129.11084
037-198701-066,10,57.6575,-164.6397,51,1987,28.307322
037-198701-120,50,56.34917,-168.2527,154,1987,342.428605
037-198701-183,90,61.32933,-175.5695,95,1987,132.717247
037-198701-067,10,57.993,-164.6245,42,1987,2.569994
037-198701-184,82,61.662,-175.7918,93,1987,11.103056
037-198701-121,50,56.37117,-169.456,134,1987,0
037-198701-068,10,58.33233,-164.631,42,1987,0.829669
037-198701-185,90,61.66433,-176.4597,106,1987,60.325175
037-198701-122,32,56.64767,-169.499,71,1987,0
037-198701-069,10,58.65833,-164.6675,35,1987,17.960524
037-198701-186,90,61.33833,-176.2982,106,1987,335.64929
037-198701-123,42,56.8235,-169.8017,70,1987,141.486131
037-198701-070,10,58.98883,-164.6717,24,1987,9.169484
037-198701-187,90,61.00233,-176.2778,112,1987,193.823472
037-198701-071,10,59.3025,-164.69,18,1987,1.121967
037-198701-124,42,56.99183,-169.588,60,1987,0
037-198701-072,20,59.62983,-165.9647,24,1987,3.525348
037-198701-188,90,60.99867,-176.9618,121,1987,229.072636
037-198701-125,42,57.15767,-169.892,48,1987,0
037-198701-073,20,59.3475,-165.9503,22,1987,0.448379
037-198701-189,90,60.99783,-177.6272,134,1987,105.6454
037-198701-126,42,57.32367,-169.6342,60,1987,4.717809
037-198701-074,20,59.01367,-165.9402,27,1987,6.812784
037-198701-192,61,60.6665,-178.1717,161,1987,127.397256
037-198701-127,42,57.48183,-169.9342,68,1987,238.715224
037-198701-075,10,58.66083,-165.9293,35,1987,4.832341
037-198701-193,61,60.66683,-177.496,146,1987,84.09032
037-198701-128,42,57.66417,-169.6497,70,1987,64.595651
037-198701-076,10,58.33633,-165.8962,42,1987,4.17476
037-198701-194,61,60.66983,-176.7768,130,1987,62.907642
037-198701-129,42,57.8245,-169.9615,70,1987,46.812092
037-198701-077,10,58.01167,-165.901,53,1987,39.672242
037-198701-195,61,60.658,-176.1787,119,1987,188.48792
037-198701-078,31,57.66967,-165.9018,62,1987,0.064066
037-198701-130,42,57.9885,-169.7082,68,1987,33.13156
037-198701-196,61,60.33067,-175.3993,110,1987,175.251768
037-198701-131,41,58.33433,-169.7482,68,1987,36.807807
037-198701-197,61,60.3315,-176.0528,121,1987,155.785996
037-198701-132,41,58.65633,-169.7847,64,1987,208.023979
037-198701-198,61,60.3315,-176.7327,137,1987,106.276294
037-198701-133,41,58.984,-169.8255,60,1987,155.064863
037-198701-199,61,60.31633,-177.3787,148,1987,52.309442
037-198701-134,41,59.32833,-169.8608,59,1987,69.071912
037-198701-200,61,59.99817,-177.1908,137,1987,139.400451
037-198701-135,41,59.649,-169.9227,53,1987,18.457156
037-198701-201,61,59.99933,-176.679,141,1987,87.639213
037-198701-136,41,59.98667,-169.9868,51,1987,82.12828
037-198701-202,61,59.9795,-175.9018,128,1987,248.41071
037-198701-137,20,60.32933,-170.0832,49,1987,27.013555
037-198701-203,61,59.996,-175.259,115,1987,261.946086
037-198701-138,41,60.995,-171.4533,59,1987,0.02715
037-198701-204,62,59.99017,-174.5832,108,1987,52.773925
037-198701-139,41,60.68333,-171.4278,60,1987,0.046226
037-198701-205,62,59.82917,-174.2002,106,1987,126.088482
037-198701-140,41,60.35,-171.3778,64,1987,2.395958
037-198701-206,43,59.9905,-173.878,95,1987,208.804329
037-198701-141,41,60.007,-171.3045,68,1987,10.797171
037-198701-207,62,59.65467,-173.8595,102,1987,113.28279
037-198701-142,41,59.67967,-171.2433,71,1987,64.71769
037-198701-208,62,59.32033,-173.7922,108,1987,361.093251
037-198701-143,41,59.36833,-171.186,73,1987,15.598022
037-198701-209,61,58.98933,-173.7122,117,1987,1812.601316
037-198701-144,41,59.01467,-171.1405,75,1987,54.04119
037-198701-210,61,58.65233,-173.6255,124,1987,353.188174
037-198701-145,41,58.6635,-171.1333,80,1987,49.982025
037-198701-211,61,58.32717,-173.5908,115,1987,2053.40773
037-198701-146,41,58.34067,-171.0142,82,1987,150.228022
037-198701-147,42,58.0015,-170.9982,84,1987,283.964629
037-198701-148,42,57.66367,-170.8808,84,1987,174.558465
037-198701-149,42,57.34667,-170.8517,80,1987,63.209386
037-198701-150,42,56.99967,-170.7983,95,1987,21.638149
037-198701-151,61,56.66567,-170.7375,112,1987,195.771631
037-198701-152,61,56.36733,-170.6617,119,1987,0
037-198701-153,61,56.65,-171.9173,128,1987,32.307051
037-198701-154,61,57.021,-172.0147,115,1987,86.222281
037-198701-155,61,57.33033,-172.1173,106,1987,572.043655
037-198801-027,31,56.3265,-162.1913,75,1988,81.569784
037-198801-028,31,56.00267,-162.2202,62,1988,383.335391
037-198801-029,31,55.67317,-163.3843,79,1988,71.137292
037-198801-030,31,56.01283,-163.3982,88,1988,207.380084
037-198801-031,31,56.35233,-163.3837,84,1988,17.774263
037-198801-032,31,56.66967,-163.3832,73,1988,62.410377
037-198801-033,31,57.0005,-163.3847,64,1988,13.064296
037-198801-034,10,57.33333,-163.3885,49,1988,20.01114
037-198801-035,10,57.66467,-163.3657,44,1988,2.935568
037-198801-036,10,58.01067,-163.3693,42,1988,7.512939
037-198801-037,10,58.3305,-163.3615,35,1988,0.058901
037-198801-038,10,58.65733,-163.348,29,1988,0
037-198801-039,10,58.97667,-163.3548,20,1988,0.030999
037-198801-043,10,59.33967,-164.647,20,1988,0
037-198801-044,10,58.99083,-164.649,26,1988,0
037-198801-045,10,58.67317,-164.6492,35,1988,14.734626
037-198801-046,10,58.33583,-164.633,42,1988,2.195114
037-198801-047,10,58.00117,-164.6063,44,1988,0
037-198801-048,10,57.6695,-164.6147,51,1988,4.047018
037-198801-049,31,57.33367,-164.5923,64,1988,39.478281
037-198801-050,31,56.99617,-164.5928,70,1988,208.018138
037-198801-105,32,56.842,-168.6238,95,1988,708.126388
037-198801-106,50,56.67867,-168.288,106,1988,163.923005
037-198801-051,31,56.67467,-164.5953,73,1988,342.425571
037-198801-107,50,56.31883,-168.1883,150,1988,156.814792
037-198801-052,31,56.337,-164.564,86,1988,86.996679
037-198801-108,50,56.01467,-168.1908,146,1988,716.663649
037-198801-053,31,55.98767,-164.5445,91,1988,41.714432
037-198801-109,50,55.74933,-168.1968,134,1988,0
037-198801-054,31,55.655,-164.576,95,1988,25.020173
037-198801-110,50,56.39183,-169.461,126,1988,3.761963
037-198801-111,32,56.6715,-169.4992,79,1988,9.444539
037-198801-055,31,55.34233,-164.5852,102,1988,1.690696
037-198801-112,42,56.83083,-169.8552,71,1988,574.464621
037-198801-056,50,54.8465,-165.7133,154,1988,2.862459
037-198801-113,42,57.17733,-169.8873,49,1988,0.345385
037-198801-057,50,55.00733,-165.745,128,1988,1.262372
037-198801-114,42,57.043,-169.5835,60,1988,36.615869
037-198801-058,50,55.3445,-165.7752,119,1988,9.355797
037-198801-115,42,57.3605,-169.5743,64,1988,4.064736
037-198801-116,42,57.49717,-169.9572,68,1988,36.42959
037-198801-059,50,55.66867,-165.8025,117,1988,43.722822
037-198801-117,42,57.68017,-169.6312,68,1988,82.508075
037-198801-060,31,55.99083,-165.7818,104,1988,7.895637
037-198801-118,42,57.817,-169.3928,62,1988,106.545396
037-198801-061,31,56.32733,-165.809,91,1988,71.959797
037-198801-119,42,57.99133,-169.6963,68,1988,26.647897
037-198801-062,31,56.6545,-165.846,77,1988,75.378962
037-198801-120,41,58.344,-169.7412,68,1988,70.416989
037-198801-001,10,57.3315,-158.42,31,1988,0.028011
037-198801-063,31,56.99483,-165.8528,70,1988,148.277573
037-198801-121,41,58.65833,-169.7857,66,1988,37.391902
037-198801-002,10,57.66167,-158.3733,35,1988,0.056544
037-198801-181,90,60.99117,-175.5672,102,1988,139.486823
037-198801-064,31,57.32633,-165.869,66,1988,15.405233
037-198801-003,10,58.00267,-158.3265,31,1988,0.628842
037-198801-122,41,58.978,-169.8445,62,1988,122.621514
037-198801-004,10,58.003,-158.9463,38,1988,1.474373
037-198801-182,90,61.33133,-175.6642,97,1988,4.621563
037-198801-065,31,57.6555,-165.886,62,1988,48.268947
037-198801-123,41,59.32333,-169.8762,59,1988,52.354728
037-198801-009,10,58.34683,-159.5552,22,1988,0
037-198801-183,82,61.9965,-175.9038,93,1988,0.054837
037-198801-066,10,57.99217,-165.8945,55,1988,76.362784
037-198801-124,41,59.64983,-169.9205,55,1988,117.805919
037-198801-184,82,61.68183,-175.7603,95,1988,0.37711
037-198801-010,10,58.00783,-159.614,40,1988,0
037-198801-067,10,58.3195,-165.9403,42,1988,15.239809
037-198801-125,41,59.99517,-169.9703,51,1988,36.25513
037-198801-185,90,61.66533,-176.4257,104,1988,196.044036
037-198801-011,10,57.67733,-159.6177,48,1988,66.071673
037-198801-068,10,58.65233,-165.9283,35,1988,2.495501
037-198801-186,90,61.34283,-176.9443,115,1988,246.670733
037-198801-126,20,60.326,-170.0343,49,1988,35.702829
037-198801-187,90,61.01217,-176.9658,121,1988,253.697424
037-198801-012,10,57.3395,-159.6473,55,1988,3.056198
037-198801-069,20,58.987,-165.9315,27,1988,0.158133
037-198801-127,41,60.98,-171.4678,59,1988,0.70674
037-198801-188,61,60.66017,-176.7638,130,1988,73.545657
037-198801-070,20,59.31983,-165.9575,22,1988,0.663641
037-198801-013,10,57.0045,-159.6838,55,1988,68.283367
037-198801-128,41,60.67383,-171.438,60,1988,1.189347
037-198801-189,61,60.27533,-176.6943,137,1988,223.794649
037-198801-071,20,59.53717,-165.9572,22,1988,1.775754
037-198801-014,31,56.67167,-160.9582,68,1988,65.068781
037-198801-129,41,60.34233,-171.3657,64,1988,3.463925
037-198801-190,61,60.00433,-176.7208,141,1988,552.74195
037-198801-072,20,59.66983,-166.6582,26,1988,5.526415
037-198801-015,10,56.3405,-160.9808,51,1988,11.719448
037-198801-130,41,60.013,-171.303,68,1988,16.863464
037-198801-191,61,59.67717,-176.5402,135,1988,535.986864
037-198801-073,20,59.33083,-166.5642,26,1988,0.013367
037-198801-016,31,56.9965,-160.9617,60,1988,27.260305
037-198801-131,41,59.67517,-171.2327,71,1988,25.67816
037-198801-192,61,59.34067,-176.3843,135,1988,185.025442
037-198801-074,20,59.00733,-166.576,31,1988,12.314088
037-198801-017,31,57.3395,-160.9327,60,1988,154.441126
037-198801-132,41,59.33,-171.1688,73,1988,4.50452
037-198801-193,61,59.00783,-176.2973,137,1988,15.405055
037-198801-075,50,55.01083,-166.9332,155,1988,142.110656
037-198801-194,61,58.69167,-176.2002,137,1988,2.546285
037-198801-018,31,57.68817,-160.9027,55,1988,104.78213
037-198801-133,41,58.99883,-171.139,75,1988,3.42387
037-198801-076,50,55.33567,-166.9688,139,1988,68.216316
037-198801-019,10,57.99967,-160.851,42,1988,2.745575
037-198801-134,41,58.6775,-171.0917,80,1988,3.0066
037-198801-077,50,55.6615,-166.9805,135,1988,117.959588
037-198801-135,41,58.34417,-171.0257,82,1988,107.861592
037-198801-020,10,58.32783,-160.7613,18,1988,0
037-198801-078,50,55.99383,-167.0013,134,1988,37.037385
037-198801-136,42,58.00833,-170.955,84,1988,434.363974
037-198801-021,10,58.33667,-162.0343,46,1988,0.050327
037-198801-079,50,56.32667,-167.0417,112,1988,70.647406
037-198801-137,42,57.66983,-170.8843,84,1988,277.174779
037-198801-022,10,57.99317,-162.118,37,1988,0.568245
037-198801-080,31,56.6645,-167.0685,93,1988,185.264767
